method,city,period,seed,n_users,n_users_overlap,k,ari,silhouette,dbi,csr,ts
dynec,City-B,2024-12,3,500,500.0,8,0.5813858561780716,0.5283836813381143,0.6626504485964031,0.096,0.013191612290662715
dynec,City-C,2024-01,3,650,,8,0.984299707448399,0.7387155830572985,0.3631500177534615,,
dynec,City-C,2024-02,3,650,650.0,8,0.9883293508775121,0.7593622439490637,0.32853393962349775,0.0015384615384615385,0.009541442361666909
dynec,City-C,2024-03,3,650,650.0,8,0.94974156669406,0.768205614714679,0.3208135979647338,0.004615384615384616,0.006107545670539357
dynec,City-C,2024-04,3,650,650.0,8,0.8832143179592348,0.765982707434466,0.31612523022381794,0.006153846153846154,0.006980439433146442
dynec,City-C,2024-05,3,650,650.0,8,0.8294168161517045,0.732464543347165,0.3749725001930088,0.010769230769230769,0.016451468878836212
dynec,City-C,2024-06,3,650,650.0,8,0.76856879292518,0.765631513391715,0.3199492023225907,0.004615384615384616,0.00983964277653816
dynec,City-C,2024-07,3,650,650.0,8,0.7209695539308986,0.6991500168742698,0.43248841121521975,0.007692307692307693,0.00916899285407344
dynec,City-C,2024-08,3,650,650.0,8,0.6640781090509154,0.7014520727255996,0.39131921083664056,0.007692307692307693,0.002860763953563888
dynec,City-C,2024-09,3,650,650.0,8,0.6430954168493185,0.7458913675040924,0.3576028495590371,0.007692307692307693,0.007498302111074738
dynec,City-C,2024-10,3,650,650.0,8,0.637056423748549,0.7410392496763675,0.3409859379487309,0.007692307692307693,0.003348124462947483
